,id,name,address,city,postalcode,phone,source
143,144,Fresh U Order Bakery & Cafe,500 Lawrence Expy,Sunnyvale ,94085,(408) 739-1888,yellow_pages
144,145,Mission City Cafe,510 Lawrence Expy,Sunnyvale ,94085,(408) 737-2373,yellow_pages
145,146,Bagel Place Cafe,546 Lawrence Expy Ste 1,Sunnyvale ,94085,(408) 749-1559,yellow_pages
146,147,Sunrise Restaurant,542 Lakeside Dr # 940,Sunnyvale ,94085,(408) 732-7052,yellow_pages
147,148,Beryls Place,1250 Oakmead Pkwy,Sunnyvale ,94085,(408) 530-9887,yellow_pages
148,149,Sunny Deli,1250 Oakmead Pkwy,Sunnyvale ,94085,(408) 530-9887,yellow_pages
149,150,Bright Storm,1270 Oakmead Pkwy,Sunnyvale ,94085,(408) 542-9314,yellow_pages
150,151,Firehouse Grill and Brewery,,Sunnyvale ,94085,(408) 329-4062,yellow_pages
151,152,Senor Jalapeno,415 N Mary Ave Ste 117,Sunnyvale ,94085,(408) 738-0100,yellow_pages
152,153,Elephant Express,302 N Fair Oaks Ave,Sunnyvale ,94085,(408) 774-9090,yellow_pages
153,154,Shaw's Sandwiches,470 N Mathilda Ave,Sunnyvale ,94085,(408) 732-1112,yellow_pages
154,155,Little Michoacan Taqueria,305 N Fair Oaks Ave,Sunnyvale ,94085,(408) 732-3854,yellow_pages
155,156,Taqueria Latina,195 E Maude Ave,Sunnyvale ,94085,(408) 735-7151,yellow_pages
156,157,Vista At Sunnyvale,605 Macara Ave,Sunnyvale ,94085,(408) 542-9318,yellow_pages
157,158,Tres Potrillos Taqueria,670 N Fair Oaks Ave,Sunnyvale ,94085,(408) 735-8657,yellow_pages
158,159,Daily Donuts & Sandwiches,708 N Fair Oaks Ave,Sunnyvale ,94085,(408) 737-8697,yellow_pages
159,160,Better Bento,550 Lakeside Dr # 1,Sunnyvale ,94085,(408) 720-8889,yellow_pages
160,161,Badal Indian Cuisine,,Sunnyvale ,94085,(408) 245-7600,yellow_pages
161,162,Dish N Dash,736 N Mathilda Ave,Sunnyvale ,94085,(408) 530-9200,yellow_pages
162,163,iChaat Cafe,1208 E Arques Ave,Sunnyvale ,94085,(408) 245-4242,yellow_pages
163,164,Antojitos Salvadorenos Restaurant,911 E Duane Ave Ste A,Sunnyvale ,94085,(408) 720-1463,yellow_pages
164,165,Subway,415 N Mary Ave,Sunnyvale ,94085,(408) 720-1774,yellow_pages
165,166,Wendy's,485 N Mathilda Ave,Sunnyvale ,94085,(408) 739-2653,yellow_pages
166,167,Subway,927 E Arques Ave Unit A,Sunnyvale ,94085,(408) 732-3436,yellow_pages
167,168,Burger King,773 N Mathilda Ave,Sunnyvale ,94085,(408) 736-0101,yellow_pages
168,169,Subway,500 Lawrence Expy Suite G,Sunnyvale ,94085,(408) 732-1952,yellow_pages
169,170,Togo's Eatery,540 Lawrence Expy,Sunnyvale ,94085,(408) 735-1102,yellow_pages
170,171,McDonald's,550 Lawrence Expy,Sunnyvale ,94085,(408) 733-2730,yellow_pages
171,172,KFC,340 W Maude Ave,Sunnyvale ,94085,(408) 730-0511,yellow_pages
172,173,Domino's Pizza,615 Caliente Dr,Sunnyvale ,94085,(408) 732-3030,yellow_pages
173,174,McDonald's,615 N Mathilda Ave,Sunnyvale ,94085,(408) 733-5319,yellow_pages
174,175,Agape Grill,845 Stewart Dr Ste A,Sunnyvale ,94085,(408) 739-3354,yellow_pages
175,176,Faultline Brewing Company,1235 Oakmead Pkwy,Sunnyvale ,94085,(408) 736-2739,yellow_pages
176,177,Quarter Note,1214 Apollo Way Ste 403,Sunnyvale ,94085,(408) 732-2110,yellow_pages
177,178,TL BEER GARDEN (Taverna Lounge),769 N Mathilda Ave,Sunnyvale ,94085,(408) 900-8252,yellow_pages
178,179,La Boulanger Inc,305 N Mathilda Ave,Sunnyvale ,94085,(408) 774-9000,yellow_pages
179,180,Jamba Juice,415 N Mary Ave Ste 109,Sunnyvale ,94085,(408) 737-8377,yellow_pages
180,181,T L Beer Garden,769 N Mathilda Ave,Sunnyvale ,94085,(408) 900-8252,yellow_pages
181,182,Daddy Dough Bake Shop,907 E Duane Ave,Sunnyvale ,94085,(408) 720-0270,yellow_pages
182,183,Danielle's Cafe and Bake Shop,907 E Duane Ave,Sunnyvale ,94085,(408) 962-0606,yellow_pages
183,184,Una Mas,548 Lawrence Expy,Sunnyvale ,94085,(408) 720-8226,yellow_pages
184,185,Sichuan Gourmet,542 Lakeside Dr,Sunnyvale ,94085,(408) 738-8297,yellow_pages
185,186,Rene Rose Island Cuisine,621 Caliente Dr,Sunnyvale ,94085,(408) 733-3691,yellow_pages
186,187,408 Peacock,933 E Duane Ave,Sunnyvale ,94085,(408) 732-2625,yellow_pages
187,188,Pezzella's Villa Napoli,1025 W El Camino Real,Sunnyvale ,94087,(408) 738-2400,yellow_pages
188,189,Tarragon Restaurant,140 S Murphy Ave,Sunnyvale ,94086,(408) 737-8003,yellow_pages
189,190,Bay Leaf Restaurant,122 S Sunnyvale Ave,Sunnyvale ,94086,(408) 481-9983,yellow_pages
190,191,Chocolate Sushi & Tofu House,595 E El Camino Real,Sunnyvale ,94087,(408) 830-0638,yellow_pages
191,192,Tao Tao Restaurant,175 S Murphy Ave,Sunnyvale ,94086,(408) 736-3731,yellow_pages
192,193,AACHI AAPPAKADAI,1105 W El Camino Real,Sunnyvale ,94087,(408) 329-4145,yellow_pages
193,194,Il Postale,127 W Washington Ave,Sunnyvale ,94086,(408) 733-9600,yellow_pages
194,195,The Old Siam,1111 W El Camino Real Ste 137,Sunnyvale ,94087,(408) 530-8552,yellow_pages
195,196,Gumba's Italian Restaurant,176 S Murphy Ave,Sunnyvale ,94086,(408) 737-8384,yellow_pages
196,197,Turmeric Restaurant,141 S Murphy Ave,Sunnyvale ,94086,(408) 617-9100,yellow_pages
197,198,P.F. Chang's,390 W El Camino Real,Sunnyvale ,94087,(408) 991-9078,yellow_pages
198,199,Katana Sushi & Sake,411 E El Camino Real,Sunnyvale ,94087,(408) 746-3000,yellow_pages
199,200,Thai Basil,101 S Murphy Ave,Sunnyvale ,94086,(408) 773-1098,yellow_pages
200,201,The Cheese Steak Shop,832 W El Camino Real,Sunnyvale ,94087,(408) 530-8159,yellow_pages
201,202,Pasta Pomodoro,300 W El Camino Real,Sunnyvale ,94087,(408) 789-0037,yellow_pages
202,203,Arka Indian Restaurant,725 S Fair Oaks Ave,Sunnyvale ,94086,(408) 733-2752,yellow_pages
203,204,Inchin's Bamboo Garden,151 W Washington Ave,Sunnyvale ,94086,(408) 481-9350,yellow_pages
204,205,King Wah Chinese Restaurant,219 E Washington Ave,Sunnyvale ,94086,(408) 245-2647,yellow_pages
205,206,Armadillo Willy's,161 E El Camino Real,Sunnyvale ,94087,(408) 245-5300,yellow_pages
206,207,Thai Spoons,909 W El Camino Real,Sunnyvale ,94087,(408) 739-1798,yellow_pages
207,208,Ramen Seas,173 S Murphy Ave,Sunnyvale ,94086,(408) 481-0900,yellow_pages
208,209,Smashburger,328 W El Camino Real,Sunnyvale ,94087,(408) 215-1730,yellow_pages
209,210,Boudin Bakery,701 Sunnyvale Saratoga Rd,Sunnyvale ,94087,(408) 419-0777,yellow_pages
210,211,Tao Tao Restaurant,175 S Murphy Ave,Sunnyvale ,94086,(408) 736-3731,yellow_pages
211,212,Kirk's Steakburgers,2388 S Bascom Ave,Campbell ,95008,(408) 371-3565,yellow_pages
212,213,Dinner at Buca di Beppo,,,,,yellow_pages
213,214,Sara's Kitchen,1595 Franklin St,Santa Clara ,95050,(408) 247-7272,yellow_pages
214,215,Korea House,2340 El Camino Real,Santa Clara ,95050,(408) 249-0808,yellow_pages
215,216,Neto's Market And Grill,1313 Franklin St,Santa Clara ,95050,(408) 296-0818,yellow_pages
216,217,Ninety-Nine Restaurant and Pub,2325 El Camino Real Ste 101,Santa Clara ,95050,(408) 241-9658,yellow_pages
217,218,House Of Soul Food,1290 Coleman Ave,Santa Clara ,95050,(408) 227-7685,yellow_pages
218,219,King Chopstick,2374 El Camino Real,Santa Clara ,95050,(408) 243-1868,yellow_pages
219,220,Golden Mushroom Pizzeria,202 Saratoga Ave,Santa Clara ,95050,(408) 247-9671,yellow_pages
220,221,House of Egg Roll,1686 Lafayette St,Santa Clara ,95050,(408) 246-6849,yellow_pages
221,222,Mio Vicino,1290 Benton St,Santa Clara ,95050,(408) 241-9414,yellow_pages
222,223,Fiorillo's Restaurant Inc.,638 El Camino Real,Santa Clara ,95050,(408) 766-7527,yellow_pages
223,224,Round Table Pizza,2615 The Alameda,Santa Clara ,95050,(408) 248-9123,yellow_pages
224,225,Thai Pepper,1045 Monroe St,Santa Clara ,95050,(408) 984-1931,yellow_pages
225,226,Mayuri Indian Cuisine,2230 El Camino Real,Santa Clara ,95050,(408) 248-9747,yellow_pages
226,227,Andy's BBQ,2367 El Camino Real,Santa Clara ,95050,(408) 249-8158,yellow_pages
227,228,Fiorillos Restaurant Inc.,638 El Camino Real,Santa Clara ,95050,(408) 984-0414,yellow_pages
228,229,Dusita Thai Cuisine,2325 El Camino Real Ste 104,Santa Clara ,95050,(408) 247-5199,yellow_pages
229,230,The Cheesecake Factory,3041 Stevens Creek Blvd,Santa Clara ,95050,(408) 246-0092,yellow_pages
230,231,Stuft Pizza,700 Bellomy St,Santa Clara ,95050,(408) 296-1600,yellow_pages
231,232,for Seasons Pho,1045 Monroe St,Santa Clara ,95050,(408) 557-9923,yellow_pages
232,233,Justin's,1285 Homestead Rd,Santa Clara ,95050,(408) 215-9332,yellow_pages
233,234,Panera Bread,2002 El Camino Real,Santa Clara ,95050,(408) 615-1557,yellow_pages
234,235,White Elephant Gourmet,930 El Camino Real,Santa Clara ,95050,(408) 987-9373,yellow_pages
235,236,Ahoy's Bar-B-Que,2367 El Camino Real,Santa Clara ,95050,(408) 378-2838,yellow_pages
236,237,Ed's Teriyaki,1992 Lafayette St,Santa Clara ,95050,(408) 988-1411,yellow_pages
237,238,Membei Restaurant,1349 Coleman Ave,Santa Clara ,95050,(408) 588-1557,yellow_pages
238,239,D & T Foods,2026 Martin Ave,Santa Clara ,95050,(408) 988-8892,yellow_pages
239,240,Boudin Bakery,2855 Stevens Creek Blvd Ste 2451,Santa Clara ,95050,(408) 249-4101,yellow_pages
240,241,Old Port Lobster Shack,2855 Stevens Creek Blvd,Santa Clara ,95050,(408) 248-2455,yellow_pages
241,242,Tava Indian Kitchen,2855 Stevens Creek Blvd,Santa Clara ,95050,(408) 246-8282,yellow_pages
242,243,Rack & Roll BBQ Shack,2855 Stevens Creek Blvd,Santa Clara ,95050,(408) 244-1124,yellow_pages
243,244,Ray's Crab Shack,5989 Mowry Ave,Newark ,94560,(510) 648-3069,yellow_pages
244,245,Fiorillo's Restaurant Inc.,638 El Camino Real,Santa Clara ,95050,(408) 766-7527,yellow_pages
245,246,Sushi O Sushi Japanese Cuisine,2789 El Camino Real,Santa Clara ,95051,(408) 241-1677,yellow_pages
246,247,Giorgio's Italian Food & Pizzeria,1445 Foxworthy Ave,San Jose ,95118,(408) 474-0566,yellow_pages
247,248,Giorgio's Italian Food & Pizzeria,643 E Calaveras Blvd,Milpitas ,95035,(408) 212-7094,yellow_pages
248,249,House Of Genji,1335 N 1st St,San Jose ,95112,(408) 883-1427,yellow_pages
249,250,AACHI AAPPAKADAI,1105 W El Camino Real,Sunnyvale ,94087,(408) 329-4145,yellow_pages
250,251,Hannegan's C B Inc.,208 Bachman Ave,Los Gatos ,95030,(408) 560-2397,yellow_pages
251,252,Loft Bar & Bistro,90 S 2nd St,San Jose ,95113,(408) 291-0677,yellow_pages
252,253,Iron Works Barbeque,,,,(512) 478-4856,yellow_pages
253,254,Frankie Johnnie & Luigi Too!,939 W El Camino Real,Mountain View ,94040,(650) 567-5114,yellow_pages
254,255,Round Table Pizza,,,,,yellow_pages
255,256,Olive Garden Italian Restaurant,,,,,yellow_pages
256,257,Kazoo Restaurant,250 Jackson St,San Jose ,95112,(408) 288-9611,yellow_pages
257,258,Duke Of Edinburgh,10801 N Wolfe Rd,Cupertino ,95014,(408) 446-3853,yellow_pages
258,259,Angelo's Italian Restaurant & Pizza,436 Blossom Hill Rd,San Jose ,95123,(408) 227-5502,yellow_pages
259,260,Sam's BBQ Diner,3309 San Felipe Rd,San Jose ,95135,(408) 270-1738,yellow_pages
260,261,Khanhs Restaurant,618 Town And Country Vlg,San Jose ,95128,(408) 241-4940,yellow_pages
261,262,Rancho Canada Golf Club,4860 Carmel Valley Rd,Carmel ,93923,(831) 624-0111,yellow_pages
262,263,Round Table Pizza,2615 The Alameda,Santa Clara ,95050,(408) 248-9123,yellow_pages
263,264,Round Table Pizza,3253 Stevens Creek Blvd,San Jose ,95117,(408) 296-3040,yellow_pages
264,265,Round Table Pizza,4400 Stevens Creek Blvd,San Jose ,95129,(408) 983-0900,yellow_pages
265,266,Tao Tao Restaurant,175 S Murphy Ave,Sunnyvale ,94086,(408) 736-3731,yellow_pages
