name;category;city;address;street;house_number;house
chanterelle;american;new york;2 harrison st.  near hudson st.;harrison st. near hudson st.;2;
daniel;french;new york;20 e. 76th st.;e. 76th st.;20;
dawat;asian;new york;210 e. 58th st.;e. 58th st.;210;
felidia;italian;new york;243 e. 58th st.;e. 58th st.;243;
four seasons grill room;american;new york;99 e. 52nd st.;e. 52nd st.;99;
gotham bar & grill;american;new york;12 e. 12th st.;e. 12th st.;12;
gramercy tavern;american;new york;42 e. 20th st.  between park ave. s and broadway;e. 20th st. between park ave. s and broadway;42;
island spice;tel caribbean;new york;402 w. 44th st.;w. 44th st.;402;
jo jo;american;new york;160 e. 64th st.;e. 64th st.;160;
la caravelle;french;new york;33 w. 55th st.;w. 55th st.;33;
la cote basque;french;new york;60 w. 55th st.  between 5th and 6th ave.;w. 55th st. between 5th and 6th ave.;60;
le bernardin;french;new york;155 w. 51st st.;w. 51st st.;155;
les celebrites;french;new york;160 central park s;central park s;160;
lespinasse;american;new york;2 e. 55th st.;e. 55th st.;2;
lutece;french;new york;249 e. 50th st.;e. 50th st.;249;
manhattan ocean club;seafood;new york;57 w. 58th st.;w. 58th st.;57;
march;american;new york;405 e. 58th st.;e. 58th st.;405;
mesa grill;american;new york;102 5th ave.  between 15th and 16th sts.;5th ave. between 15th and 16th sts.;102;
mi cocina;mexican;new york;57 jane st.  off hudson st.;jane st. off hudson st.;57;
montrachet;french;new york;239 w. broadway  between walker and white sts.;w. broadway between walker and white sts.;239;
oceana;seafood;new york;55 e. 54th st.;e. 54th st.;55;
park avenue cafe;american;new york;100 e. 63rd st.;e. 63rd st.;100;
petrossian;french;new york;182 w. 58th st.;w. 58th st.;182;
picholine;mediterranean;new york;35 w. 64th st.;w. 64th st.;35;
pisces;seafood;new york;95 ave. a at 6th st.;ave. a at 6th st.;95;
rainbow room;or 212/632-5100 american;new york;30 rockefeller plaza;;;30 rockefeller plaza
river cafe;american;brooklyn;1 water st. at the east river;water st. at the east river;1;
san domenico;italian;new york;240 central park s;central park s;240;
second avenue deli;delicatessen;new york;156 2nd ave. at 10th st.;2nd ave. at 10th st.;156;
seryna;asian;new york;11 e. 53rd st.;e. 53rd st.;11;
shun lee west;asian;new york;43 w. 65th st.;w. 65th st.;43;
sign of the dove;american;new york;1110 3rd ave. at 65th st.;3rd ave. at 65th st.;1110;
smith & wollensky;american;new york;201 e. 49th st.;e. 49th st.;201;
tavern on the green;american;new york;in central park at 67th st.;;;in central park at 67th st.
uncle nick\s';mediterranean;new york;747 9th ave.  between 50th and 51st sts.;9th ave. between 50th and 51st sts.;747;
union square cafe;american;new york;21 e. 16th st.;e. 16th st.;21;
virgil\s';american;new york;152 w. 44th st.;w. 44th st.;152;
chin\s';asian;las vegas;3200 las vegas blvd. s;las vegas blvd. s;3200;
coyote cafe;southwestern;las vegas;3799 las vegas blvd. s;las vegas blvd. s;3799;
le montrachet;continental;las vegas;3000 w. paradise rd.;w. paradise rd.;3000;
palace court;continental;las vegas;3570 las vegas blvd. s;las vegas blvd. s;3570;
second street grille;seafood;las vegas;200 e. fremont st.;e. fremont st.;200;
steak house;steak houses;las vegas;2880 las vegas blvd. s;las vegas blvd. s;2880;
tillerman;seafood;las vegas;2245 e. flamingo rd.;e. flamingo rd.;2245;
abruzzi;italian;atlanta;2355 peachtree road peachtree battle shopping center;peachtree road;2355;battle shopping center
bacchanalia;international;atlanta;3125 piedmont road near peachtree road;piedmont road near peachtree road;3125;
bone\s';american;atlanta;3130 piedmont road;piedmont road;3130;
brasserie le coze;french;atlanta;3393 peachtree road lenox square mall near neiman marcus;peachtree road lenox square mall near neiman marcus;3393;
buckhead diner;american;atlanta;3073 piedmont road;piedmont road;3073;
ciboulette;french;atlanta;1529 piedmont avenue;piedmont avenue;1529;
delectables;american;atlanta;1 margaret mitchell square;margaret mitchell square;1;
georgia grille;american;atlanta;2290 peachtree road peachtree square shopping center;peachtree road;2290;square shopping center
hedgerose heights inn;international;atlanta;490 e. paces ferry rd.;e. paces ferry rd.;490;
heera of india;asian;atlanta;595 piedmont avenue rio shopping center mall;piedmont avenue;595;rio shopping center mall
indigo coastal grill;caribbean;atlanta;1397 n. highland ave.;n. highland ave.;1397;
la grotta;italian;atlanta;2637 peachtree road peachtree house condominium;peachtree road;2637;peachtree house condominium
mary mac\s tea room';southern;atlanta;224 ponce de leon ave.;ponce de leon ave.;224;
nikolai\s roof';continental;atlanta;255 courtland st.  at harris st.;courtland st. at harris st.;255;
pano\s and paul\'s';international;atlanta;1232 w. paces ferry rd.;w. paces ferry rd.;1232;
cafe  ritz-carlton  buckhead;ext 6108 international;atlanta;3434 peachtree road;peachtree road;3434;
dining room  ritz-carlton  buckhead;international;atlanta;3434 peachtree road;peachtree road;3434;
restaurant  ritz-carlton  atlanta;continental;atlanta;181 peachtree st.;peachtree st.;181;
toulouse;french;atlanta;b peachtree road;b peachtree road;;
veni vidi vici;italian;atlanta;41 14th st.;14th st.;41;
alain rondelli;french;san francisco;126 clement st.;clement st.;126;
aqua;seafood;san francisco;252 california st.;california st.;252;
boulevard;american;san francisco;1 mission st.;mission st.;1;
cafe claude;french;san francisco;7 claude la.;claude la.;7;
campton place;american;san francisco;340 stockton st.;stockton st.;340;
chez michel;french;san francisco;804 northpoint;northpoint;804;
fleur de lys;french;san francisco;777 sutter st.;sutter st.;777;
fringale;french;san francisco;570 4th st.;4th st.;570;
hawthorne lane;american;san francisco;22 hawthorne st.;hawthorne st.;22;
khan toke thai house;asian;san francisco;5937 geary boulevard;geary boulevard;5937;
la folie;french;san francisco;2316 polk st.;polk st.;2316;
lulu;mediterranean;san francisco;816 folsom st.;folsom st.;816;
masa\s';french;san francisco;648 bush st.;bush st.;648;
mifune japan center  kintetsu building;asian;san francisco;1737 post st.;post st.;1737;
plumpjack cafe;mediterranean;san francisco;3201 fillmore st.;fillmore st.;3201;
postrio;american;san francisco;545 post st.;post st.;545;
ritz-carlton restaurant and dining room;american;san francisco;600 stockton st.;stockton st.;600;
rose pistola;italian;san francisco;532 columbus avenue;columbus avenue;532;
bolo;mediterranean;new york;23 e. 22nd st.;e. 22nd st.;23;
il nido;italian;new york;251 e. 53rd st.;e. 53rd st.;251;
remi;italian;new york;145 w. 53rd st.;w. 53rd st.;145;
adriano\s ristorante';italian;los angeles;2930 beverly glen circle;beverly glen circle;2930;
barney greengrass;american;beverly hills;9570 wilshire boulevard;wilshire boulevard;9570;
beaurivage;french;malibu;26025 pacific coast highway;pacific coast highway;26025;
bistro garden;californian;los angeles;176 n. canon dr.;n. canon dr.;176;
border grill;mexican;los angeles;4th st.;4th st.;;
broadway deli;american;santa monica;3rd st. promenade;3rd st. promenade;;
ca\brea';italian;los angeles;346 s. la brea ave.;s. la brea ave.;346;
ca\del sol';italian;los angeles;4100 cahuenga boulevard;cahuenga boulevard;4100;
cafe pinot;californian;los angeles;700 w. fifth st.;w. fifth st.;700;
california pizza kitchen;californian;los angeles;207 s. beverly dr.;s. beverly dr.;207;
canter\s';american;los angeles;419 n. fairfax ave.;n. fairfax ave.;419;
cava;mediterranean;los angeles;3rd st.;3rd st.;;
cha cha cha;caribbean;los angeles;656 n. virgil ave.;n. virgil ave.;656;
chan dara;asian;los angeles;310 n. larchmont blvd.;n. larchmont blvd.;310;
clearwater cafe;health food;los angeles;168 w. colorado blvd.;w. colorado blvd.;168;
dining room;californian;los angeles;9500 wilshire boulevard;wilshire boulevard;9500;
dive!;dive american;los angeles;10250 santa monica boulevard;santa monica boulevard;10250;
drago;italian;santa monica;2628 wilshire boulevard;wilshire boulevard;2628;
drai\s';french;los angeles;730 n. la cienega blvd.;n. la cienega blvd.;730;
dynasty room;continental;los angeles;930 hilgard avenue;hilgard avenue;930;
eclipse;californian;los angeles;8800 melrose avenue;melrose avenue;8800;
ed debevic\s';american;los angeles;134 n. la cienega;n. la cienega;134;
el cholo;mexican;los angeles;1121 southwestern avenue;southwestern avenue;1121;
gilliland\s';american;santa monica;2424 main st.;main st.;2424;
gladstone\s';american;pacific palisades;4 fish 17300 pacific coast highway at sunset boulevard;pacific coast highway at sunset boulevard;17300;
hard rock cafe;american;los angeles;8600 beverly boulevard;beverly boulevard;8600;
harry\s bar & american grill';italian;los angeles;2020 avenue of the stars;avenue of the stars;2020;
il fornaio cucina italiana;italian;los angeles;301 n. beverly dr.;n. beverly dr.;301;
jack sprat\s grill';health food;los angeles;10668 w. pico blvd.;w. pico blvd.;10668;
jackson\s farm';californian;los angeles;439 n. beverly drive;n. beverly drive;439;
jimmy\s';continental;los angeles;201 moreno dr.;moreno dr.;201;
joss;asian;los angeles;9255 sunset boulevard;sunset boulevard;9255;
le colonial;asian;los angeles;8783 beverly boulevard;beverly boulevard;8783;
le dome;french;los angeles;8720 sunset boulevard;sunset boulevard;8720;
louise\s trattoria';italian;los angeles;4500 los feliz boulevard;los feliz boulevard;4500;
mon kee seafood restaurant;asian;los angeles;679 n. spring st.;n. spring st.;679;
morton\s';american;los angeles;8764 melrose avenue;melrose avenue;8764;
nate \n\' al\'s';american;los angeles;414 n. beverly dr.;n. beverly dr.;414;
nicola;american;los angeles;601 s. figueroa st.;s. figueroa st.;601;
ocean avenue;american;santa monica;1401 ocean avenue;ocean avenue;1401;
orleans;cajun;los angeles;11705 national boulevard;national boulevard;11705;
pacific dining car;american;los angeles;6th st.;6th st.;;
paty\s';american;toluca lake;10001 riverside dr.;riverside dr.;10001;
pinot hollywood;californian;los angeles;1448 n. gower st.;n. gower st.;1448;
posto;italian;sherman oaks;14928 ventura boulevard;ventura boulevard;14928;
prego;italian;los angeles;362 n. camden dr.;n. camden dr.;362;
rj\s the rib joint';american;los angeles;252 n. beverly dr.;n. beverly dr.;252;
remi;italian;santa monica;3rd st. promenade;3rd st. promenade;;
restaurant horikawa;asian;los angeles;111 s. san pedro st.;s. san pedro st.;111;
roscoe\s house of chicken \'n\' waffles';american;los angeles;1514 n. gower st.;n. gower st.;1514;
schatzi on main;continental;los angeles;3110 main st.;main st.;3110;
sofi;mediterranean;los angeles;3rd st.;3rd st.;;
swingers;american;los angeles;8020 beverly boulevard;beverly boulevard;8020;
tavola calda;italian;los angeles;7371 melrose avenue;melrose avenue;7371;
the mandarin;asian;los angeles;430 n. camden dr.;n. camden dr.;430;
tommy tang\s';asian;los angeles;7313 melrose avenue;melrose avenue;7313;
tra di noi;italian;los angeles;3835 cross creek road;cross creek road;3835;
trader vic\s';asian;los angeles;9876 wilshire boulevard;wilshire boulevard;9876;
vida;american;los feliz;1930 north hillhurst avenue;north hillhurst avenue;1930;
west beach cafe;american;los angeles;60 n. venice blvd.;n. venice blvd.;60;
20 mott;asian;new york;20 mott st.  between bowery and pell st.;mott st. between bowery and pell st.;20;
9 jones street;american;new york;9 jones st.;jones st.;9;
adrienne;french;new york;700 5th ave. at 55th st.;5th ave. at 55th st.;700;
agrotikon;mediterranean;new york;322 e. 14 st.  between 1st and 2nd aves.;e. 14 st. between 1st and 2nd aves.;322;
aja;american;new york;937 broadway at 22nd st.;broadway at 22nd st.;937;
alamo;mexican;new york;304 e. 48th st.;e. 48th st.;304;
alley\s end';american;new york;311 w. 17th st.;w. 17th st.;311;
ambassador grill;american;new york;1 united nations plaza at 44th st.;united nations plaza at 44th st.;1;
american place;american;new york;2 park ave. at 32nd st.;park ave. at 32nd st.;2;
anche vivolo;italian;new york;222 e. 58th st.  between 2nd and 3rd aves.;e. 58th st. between 2nd and 3rd aves.;222;
arizona;american;new york;206 206 e. 60th st.;206 e. 60th st.;206;
arturo\s';italian;new york;106 w. houston st.  off thompson st.;w. houston st. off thompson st.;106;
au mandarin;asian;new york;200-250 vesey st. world financial center;;;200-250 vesey st. world financial center
bar anise;mediterranean;new york;1022 3rd ave.  between 60th and 61st sts.;3rd ave. between 60th and 61st sts.;1022;
barbetta;italian;new york;321 w. 46th st.;w. 46th st.;321;
ben benson\s';american;new york;123 w. 52nd st.;w. 52nd st.;123;
big cup;coffee bar;new york;228 8th ave.  between 21st and 22nd sts.;8th ave. between 21st and 22nd sts.;228;
billy\s';american;new york;948 1st ave.  between 52nd and 53rd sts.;1st ave. between 52nd and 53rd sts.;948;
boca chica;latin american;new york;13 1st ave.  near 1st st.;1st ave. near 1st st.;13;
boonthai;asian;new york;1393a 2nd ave.  between 72nd and 73rd sts.;2nd ave. between 72nd and 73rd sts.;1393a;
bouterin;french;new york;420 e. 59th st.  off 1st ave.;e. 59th st. off 1st ave.;420;
brothers bar-b-q;american;new york;225 varick st. at clarkston st.;varick st. at clarkston st.;225;
bruno;italian;new york;240 e. 58th st.;e. 58th st.;240;
bryant park grill  roof restaurant and bp cafe;american;new york;25 w. 40th st.  between 5th and 6th aves.;w. 40th st. between 5th and 6th aves.;25;
c3;american;new york;103 waverly pl.  near washington sq.;waverly pl. near washington sq.;103;
ct;french;new york;111 e. 22nd st.  between park ave. s and lexington ave.;e. 22nd st. between park ave. s and lexington ave.;111;
cafe bianco;coffee bar;new york;1486 2nd ave.  between 77th and 78th sts.;2nd ave. between 77th and 78th sts.;1486;
cafe botanica;french;new york;160 central park s;central park s;160;
cafe la fortuna;coffee bar;new york;69 w. 71st st.;w. 71st st.;69;
cafe luxembourg;french;new york;200 w. 70th st.;w. 70th st.;200;
cafe pierre;french;new york;2 e. 61st st.;e. 61st st.;2;
cafe centro;french;new york;200 park ave.  between 45th st. and vanderbilt ave.;park ave. between 45th st. and vanderbilt ave.;200;
cafe fes;mediterranean;new york;246 w. 4th st. at charles st.;w. 4th st. at charles st.;246;
caffe dante;coffee bar;new york;81 macdougal st.  between houston and bleeker sts.;macdougal st. between houston and bleeker sts.;81;
caffe dell\artista';coffee bar;new york;46 greenwich avenue;greenwich avenue;46;
caffe lure;french;new york;169 sullivan st.  between houston and bleecker sts.;sullivan st. between houston and bleecker sts.;169;
caffe reggio;coffee bar;new york;119 macdougal st.  between 3rd and bleecker sts.;macdougal st. between 3rd and bleecker sts.;119;
caffe roma;coffee bar;new york;385 broome st. at mulberry;broome st. at mulberry;385;
caffe vivaldi;coffee bar;new york;32 jones st. at bleecker st.;jones st. at bleecker st.;32;
caffe bondi ristorante;italian;new york;7 w. 20th st.;w. 20th st.;7;
capsouto freres;french;new york;451 washington st.  near watts st.;washington st. near watts st.;451;
captain\s table';seafood;new york;860 2nd ave. at 46th st.;2nd ave. at 46th st.;860;
casa la femme;middle eastern;new york;150 wooster st.  between houston and prince sts.;wooster st. between houston and prince sts.;150;
cendrillon asian grill & marimba bar;asian;new york;45 mercer st.  between broome and grand sts.;mercer st. between broome and grand sts.;45;
chez jacqueline;french;new york;72 macdougal st.  between w. houston and bleecker sts.;macdougal st. between w. houston and bleecker sts.;72;
chiam;asian;new york;160 e. 48th st.;e. 48th st.;160;
china grill;american;new york;60 w. 53rd st.;w. 53rd st.;60;
cite;french;new york;120 w. 51st st.;w. 51st st.;120;
coco pazzo;italian;new york;23 e. 74th st.;e. 74th st.;23;
columbus bakery;coffee bar;new york;53rd sts.;53rd sts.;;
corrado cafe;coffee bar;new york;1013 3rd ave.  between 60th and 61st sts.;3rd ave. between 60th and 61st sts.;1013;
cupcake cafe;coffee bar;new york;522 9th ave. at 39th st.;9th ave. at 39th st.;522;
da nico;italian;new york;164 mulberry st.  between grand and broome sts.;mulberry st. between grand and broome sts.;164;
dean & deluca;coffee bar;new york;121 prince st.;prince st.;121;
diva;italian;new york;341 w. broadway  near grand st.;w. broadway near grand st.;341;
dix et sept;french;new york;181 w. 10th st.;w. 10th st.;181;
docks;seafood;new york;633 3rd ave. at 40th st.;3rd ave. at 40th st.;633;
duane park cafe;american;new york;157 duane st.  between w. broadway and hudson st.;duane st. between w. broadway and hudson st.;157;
el teddy\s';mexican;new york;219 w. broadway  between franklin and white sts.;w. broadway between franklin and white sts.;219;
emily\s';american;new york;1325 5th ave. at 111th st.;5th ave. at 111th st.;1325;
empire korea;asian;new york;6 e. 32nd st.;e. 32nd st.;6;
ernie\s';american;new york;2150 broadway  between 75th and 76th sts.;broadway between 75th and 76th sts.;2150;
evergreen cafe;asian;new york;1288 1st ave. at 69th st.;1st ave. at 69th st.;1288;
f. ille ponte ristorante;italian;new york;39 desbrosses st.  near west st.;desbrosses st. near west st.;39;
felix;french;new york;340 w. broadway at grand st.;w. broadway at grand st.;340;
ferrier;french;new york;29 e. 65th st.;e. 65th st.;29;
fifty seven fifty seven;american;new york;57 e. 57th st.;e. 57th st.;57;
film center cafe;american;new york;635 9th ave.  between 44th and 45th sts.;9th ave. between 44th and 45th sts.;635;
fiorello\s roman cafe';italian;new york;1900 broadway  between 63rd and 64th sts.;broadway between 63rd and 64th sts.;1900;
firehouse;american;new york;522 columbus ave.  between 85th and 86th sts.;columbus ave. between 85th and 86th sts.;522;
first;american;new york;87 1st ave.  between 5th and 6th sts.;1st ave. between 5th and 6th sts.;87;
fishin eddie;seafood;new york;73 w. 71st st.;w. 71st st.;73;
fleur de jour;coffee bar;new york;348 e. 62nd st.;e. 62nd st.;348;
flowers;american;new york;21 west 17th st.  between 5th and 6th aves.;west 17th st. between 5th and 6th aves.;21;
follonico;italian;new york;6 w. 24th st.;w. 24th st.;6;
fraunces tavern;american;new york;54 pearl st. at broad st.;pearl st. at broad st.;54;
french roast;french;new york;458 6th ave. at 11th st.;6th ave. at 11th st.;458;
french roast cafe;coffee bar;new york;2340 broadway at 85th st.;broadway at 85th st.;2340;
frico bar;italian;new york;402 w. 43rd st.  off 9th ave.;w. 43rd st. off 9th ave.;402;
fujiyama mama;asian;new york;467 columbus ave.  between 82nd and 83rd sts.;columbus ave. between 82nd and 83rd sts.;467;
gabriela\s';mexican;new york;685 amsterdam ave. at 93rd st.;amsterdam ave. at 93rd st.;685;
gallagher\s';american;new york;228 w. 52nd st.;w. 52nd st.;228;
gianni\s';seafood;new york;15 fulton st.;fulton st.;15;
girafe;italian;new york;208 e. 58th st.  between 2nd and 3rd aves.;e. 58th st. between 2nd and 3rd aves.;208;
global;american;new york;33 93 2nd ave between 5th and 6th sts;2nd ave between 5th and 6th sts;33 93;
golden unicorn;asian;new york;18 e. broadway at catherine st.;e. broadway at catherine st.;18;
grand ticino;italian;new york;228 thompson st.  between w. 3rd and bleecker sts.;thompson st. between w. 3rd and bleecker sts.;228;
halcyon;american;new york;151 w. 54th st.  in the rihga royal hotel;w. 54th st.;151;in the rihga royal hotel
hard rock cafe;american;new york;221 w. 57th st.;w. 57th st.;221;
hi-life restaurant and lounge;american;new york;1340 1st ave. at 72nd st.;1st ave. at 72nd st.;1340;
home;american;new york;20 cornelia st.  between bleecker and w. 4th st.;cornelia st. between bleecker and w. 4th st.;20;
hudson river club;american;new york;4 world financial center;world financial center;4;
i trulli;italian;new york;122 e. 27th st.  between lexington and park aves.;e. 27th st.;122;lexington and park aves.
il cortile;italian;new york;125 mulberry st.  between canal and hester sts.;mulberry st. between canal and hester sts.;125;
inca grill;latin american;new york;492 broome st.  near w. broadway;broome st.;492;
indochine;asian;new york;430 lafayette st.  between 4th st. and astor pl.;lafayette st. between 4th st. and astor pl.;430;
internet cafe;coffee bar;new york;82 e. 3rd st.  between 1st and 2nd aves.;e. 3rd st. between 1st and 2nd aves.;82;
ipanema;latin american;new york;13 w. 46th st.;w. 46th st.;13;
jean lafitte;french;new york;68 w. 58th st.;w. 58th st.;68;
jewel of india;asian;new york;15 w. 44th st.;w. 44th st.;15;
jimmy sung\s';asian;new york;219 e. 44th st.  between 2nd and 3rd aves.;e. 44th st. between 2nd and 3rd aves.;219;
joe allen;american;new york;326 w. 46th st.;w. 46th st.;326;
judson grill;american;new york;152 w. 52nd st.;w. 52nd st.;152;
l\absinthe';french;new york;227 e. 67th st.;e. 67th st.;227;
l\auberge';middle eastern;new york;1191 1st ave.  between 64th and 65th sts.;1st ave. between 64th and 65th sts.;1191;
l\auberge du midi';french;new york;310 w. 4th st.  between w. 12th and bank sts.;w. 4th st. between w. 12th and bank sts.;310;
l\udo';french;new york;432 lafayette st.  near astor pl.;lafayette st. near astor pl.;432;
la reserve;french;new york;4 w. 49th st.;w. 49th st.;4;
lanza restaurant;italian;new york;168 1st ave.  between 10th and 11th sts.;1st ave. between 10th and 11th sts.;168;
lattanzi ristorante;italian;new york;361 w. 46th st.;w. 46th st.;361;
layla;middle eastern;new york;211 w. broadway at franklin st.;w. broadway at franklin st.;211;
le chantilly;french;new york;106 e. 57th st.;e. 57th st.;106;
le colonial;asian;new york;149 e. 57th st.;e. 57th st.;149;
le gamin;coffee bar;new york;50 macdougal st.  between houston and prince sts.;macdougal st. between houston and prince sts.;50;
le jardin;french;new york;25 cleveland pl.  near spring st.;cleveland pl. near spring st.;25;
le madri;italian;new york;168 w. 18th st.;w. 18th st.;168;
le marais;american;new york;150 w. 46th st.;w. 46th st.;150;
le perigord;french;new york;405 e. 52nd st.;e. 52nd st.;405;
le select;american;new york;507 columbus ave.  between 84th and 85th sts.;columbus ave. between 84th and 85th sts.;507;
les halles;french;new york;411 park ave. s  between 28th and 29th sts.;park ave. s between 28th and 29th sts.;411;
lincoln tavern;american;new york;51 w. 64th st.;w. 64th st.;51;
lola;american;new york;30 west 22nd st.  between 5th and 6th ave.;west 22nd st. between 5th and 6th ave.;30;
lucky strike;or 212/941-0772 american;new york;59 grand st.  between wooster st. and w. broadway;grand st. between wooster st. and w. broadway;59;
mad fish;seafood;new york;2182 broadway  between 77th and 78th sts.;broadway between 77th and 78th sts.;2182;
main street;american;new york;446 columbus ave.  between 81st and 82nd sts.;columbus ave. between 81st and 82nd sts.;446;
mangia e bevi;italian;new york;800 9th ave. at 53rd st.;9th ave. at 53rd st.;800;
manhattan cafe;american;new york;1161 1st ave.  between 63rd and 64th sts.;1st ave. between 63rd and 64th sts.;1161;
manila garden;asian;new york;325 e. 14th st.  between 1st and 2nd aves.;e. 14th st. between 1st and 2nd aves.;325;
marichu;french;new york;342 e. 46th st.  between 1st and 2nd aves.;e. 46th st. between 1st and 2nd aves.;342;
marquet patisserie;coffee bar;new york;15 e. 12th st.  between 5th ave. and university pl.;e. 12th st. between 5th ave. and university pl.;15;
match;american;new york;160 mercer st.  between houston and prince sts.;mercer st. between houston and prince sts.;160;
matthew\s';american;new york;1030 3rd ave. at 61st st.;3rd ave. at 61st st.;1030;
mavalli palace;asian;new york;46 e. 29th st.;e. 29th st.;46;
milan cafe and coffee bar;coffee bar;new york;120 w. 23rd st.;w. 23rd st.;120;
monkey bar;american;new york;60 e. 54th st.;e. 54th st.;60;
montien;asian;new york;1134 1st ave.   between 62nd and 63rd sts.;1st ave. between 62nd and 63rd sts.;1134;
morton\s';american;new york;551 5th ave. at 45th st.;5th ave. at 45th st.;551;
motown cafe;american;new york;104 w. 57th st.  near 6th ave.;w. 57th st. near 6th ave.;104;
new york kom tang soot bul house;asian;new york;32 w. 32nd st.;w. 32nd st.;32;
new york noodletown;asian;new york;28 1/2 bowery at bayard st.;bowery at bayard st.;28 1/2;
newsbar;coffee bar;new york;2 w. 19th st.;w. 19th st.;2;
odeon;american;new york;145 w. broadway at thomas st.;w. broadway at thomas st.;145;
orso;italian;new york;322 w. 46th st.;w. 46th st.;322;
osteria al droge;italian;new york;142 w. 44th st.;w. 44th st.;142;
otabe;asian;new york;68 e. 56th st.;e. 56th st.;68;
pacifica;asian;new york;138 lafayette st.  between canal and howard sts.;lafayette st. between canal and howard sts.;138;
palio;italian;new york;151 w. 51st. st.;w. 51st st.;151;
pamir;middle eastern;new york;1065 1st ave.  at 58th st.;1st ave. at 58th st.;1065;
parioli romanissimo;italian;new york;24 e. 81st st.;e. 81st st.;24;
patria;latin american;new york;250 park ave. s at 20th st.;park ave. s at 20th st.;250;
peacock alley;french;new york;301 park ave.  between 49th and 50th sts.;park ave. between 49th and 50th sts.;301;
pen & pencil;american;new york;205 e. 45th st.;e. 45th st.;205;
penang soho;asian;new york;109 spring st.  between greene and mercer sts.;spring st. between greene and mercer sts.;109;
persepolis;middle eastern;new york;1423 2nd ave.  between 74th and 75th sts.;2nd ave. between 74th and 75th sts.;1423;
planet hollywood;american;new york;140 w. 57th st.;w. 57th st.;140;
pomaire;latin american;new york;371 w. 46th st.  off 9th ave.;w. 46th st. off 9th ave.;371;
popover cafe;american;new york;551 amsterdam ave.  between 86th and 87th sts.;amsterdam ave. between 86th and 87th sts.;551;
post house;american;new york;28 e. 63rd st.;e. 63rd st.;28;
rain;asian;new york;100 w. 82nd st.;w. 82nd st.;100;
red tulip;eastern european;new york;439 e. 75th st.;e. 75th st.;439;
republic;asian;new york;37a union sq. w  between 16th and 17th sts.;union sq. w between 16th and 17th sts.;37a;
roettelle a. g;continental;new york;126 e. 7th st.  between 1st ave. and ave. a;e. 7th st. between 1st ave. and ave. a;126;
rosa mexicano;mexican;new york;1063 1st ave. at 58th st.;1st ave. at 58th st.;1063;
ruth\s chris';american;new york;148 w. 51st st.;w. 51st st.;148;
s.p.q.r;italian;new york;133 mulberry st.  between hester and grand sts.;mulberry st. between hester and grand sts.;133;
sal anthony\s';italian;new york;55 irving pl.;irving pl.;55;
sammy\s roumanian steak house';east european;new york;157 chrystie st. at delancey st.;chrystie st. at delancey st.;157;
san pietro;italian;new york;18 e. 54th st.;e. 54th st.;18;
sant ambroeus;coffee bar;new york;1000 madison ave.  between 77th and 78th sts.;madison ave. between 77th and 78th sts.;1000;
sarabeth\s kitchen';american;new york;423 amsterdam ave.  between 80th and 81st sts.;amsterdam ave. between 80th and 81st sts.;423;
sea grill;seafood;new york;19 w. 49th st.;w. 49th st.;19;
serendipity;american;new york;3 225 e. 60th st.;e. 60th st.;3 225;
