id,source,name,category,phone,city,postalcode,address,street,house_number,house
58,yellow_pages,Round Table Pizza,,(650) 941-0237,Los Altos ,94022,399 1st St,1st st,399,
59,yellow_pages,World Gourmet Buffet,,(510) 323-2765,Fremont ,94538,6010 stevenson boulevard,stevenson boulevard,6010,
60,yellow_pages,Cascal,,(650) 265-1884,Mountain View ,94041,400 Castro St,castro st,400,
61,yellow_pages,Tao Tao Restaurant,,(408) 736-3731,Sunnyvale ,94086,175 S Murphy Ave,s murphy ave,175,
62,yellow_pages,Dinner at Buca di Beppo,,,,nan,,,,
64,yellow_pages,The Armenian Gourmet,,(408) 732-3910,Sunnyvale ,94085,929 E Duane Ave,e duane ave,929,
65,yellow_pages,Round Table Pizza,,(408) 733-1365,Sunnyvale ,94085,415 N Mary Ave,n mary ave,415,
66,yellow_pages,Round Table Pizza,,(408) 970-9000,Sunnyvale ,94085,1220 oakmead parkway,oakmead parkway,1220,
67,yellow_pages,Tasty Indian Pizza,,(408) 738-8761,Sunnyvale ,94085,528 lawrence expressway,lawrence expressway,528,
68,yellow_pages,Seto Japanese Cuisine,,(408) 735-8280,Sunnyvale ,94085,511 borregas avenue,borregas avenue,511,
69,yellow_pages,TGI Sushi Sunnyvale,,(408) 737-7183,Sunnyvale ,94085,903 E Duane Ave,e duane ave,903,
70,yellow_pages,Shanghai Restaurant,,(408) 245-1342,Sunnyvale ,94085,253 E Maude Ave,e maude ave,253,
71,yellow_pages,Pho Lovers,,(408) 530-8583,Sunnyvale ,94085,253 E Maude Ave,e maude ave,253,
72,yellow_pages,Old Country Buffet,,(408) 720-9394,Sunnyvale ,94085,456 W Maude Ave,w maude ave,456,
73,yellow_pages,Tryua Sushi SV,,(408) 738-0408,Sunnyvale ,94085,415 N Mary Ave,n mary ave,415,
74,yellow_pages,Yume-Ya,,(408) 530-8156,Sunnyvale ,94085,355 N Wolfe Rd Ste 727,n wolfe rd,355,
75,yellow_pages,Bombay Feast,,(408) 245-2276,Sunnyvale ,94085,769 N Mathilda Ave,n mathilda ave,769,
76,yellow_pages,Clarita's Filipino Cuisine,,(408) 735-1721,Sunnyvale ,94085,905 E Duane Ave,e duane ave,905,
77,yellow_pages,Madhuban Indian Cuisine,,(408) 245-1000,Sunnyvale ,94085,1180 Miraloma Way Ste M,miraloma way,1180,
78,yellow_pages,Panera Bread,,(408) 736-7984,Sunnyvale ,94085,1195 E Arques Ave,e arques ave,1195,
79,yellow_pages,Thai Thai Restaurant,,(408) 733-2626,Sunnyvale ,94085,500 Lawrence Expy Ste B,lawrence expy,500,
80,yellow_pages,Luv Pho,,(408) 733-8883,Sunnyvale ,94085,500 lawrence expressway,lawrence expressway,500,
81,yellow_pages,Chaats & Currys,,(408) 746-9192,Sunnyvale ,94085,520 Lawrence Expy Ste 310,lawrence expy,520,
82,yellow_pages,Coco's,,(408) 736-2895,Sunnyvale ,94085,1206 oakmead parkway,oakmead parkway,1206,
83,yellow_pages,Kal's Bar-B-Q,,(408) 739-5271,Sunnyvale ,94085,425 N Mathilda Ave,n mathilda ave,425,
84,yellow_pages,Tia Juana Mexican Grill,,(408) 730-8578,Sunnyvale ,94085,901 E Duane Ave,e duane ave,901,
85,yellow_pages,Sri Ananda Bhavan,,(408) 735-1111,Sunnyvale ,94085,920 E Arques Ave,e arques ave,920,
86,yellow_pages,Swathi Tiffins,,(408) 617-0482,Sunnyvale ,94085,1202 apollo way,apollo way,1202,
87,yellow_pages,El Calbonero Restaurant,,(408) 720-1077,Sunnyvale ,94085,911 E Duane Ave,e duane ave,911,
88,yellow_pages,Hobee's,,(408) 524-3580,Sunnyvale ,94085,800 W Ahwanee Ave,w ahwanee ave,800,
89,yellow_pages,Merit Vegetarian Restaurant,,(408) 245-8988,Sunnyvale ,94085,548 lawrence expressway,lawrence expressway,548,
90,yellow_pages,Madhuban Indian Cuisine,,(408) 735-7448,Sunnyvale ,94085,544 lawrence expressway,lawrence expressway,544,
91,yellow_pages,Denny's,,(408) 747-1449,Sunnyvale ,94085,814 W Ahwanee Ave,w ahwanee ave,814,
92,yellow_pages,Sushi Boulevard,,(408) 737-7183,Sunnyvale ,94085,903 E Duane Ave,e duane ave,903,
93,yellow_pages,Ray's Crab Shack,,(510) 648-3069,Newark ,94560,5989 mowry avenue,mowry avenue,5989,
94,yellow_pages,Fiorillo's Restaurant Inc.,,(408) 766-7527,Santa Clara ,95050,638 el camino real,el camino real,638,
95,yellow_pages,Fishermen's Grotto,,(415) 673-7025,San Francisco ,94133,9 fishermans wharf,fishermans wharf,9,
96,yellow_pages,Sushi O Sushi Japanese Cuisine,,(408) 241-1677,Santa Clara ,95051,2789 el camino real,el camino real,2789,
97,yellow_pages,Giorgio's Italian Food & Pizzeria,,(408) 212-7094,Milpitas ,95035,643 E Calaveras Blvd,e calaveras blvd,643,
98,yellow_pages,Giorgio's Italian Food & Pizzeria,,(408) 474-0566,San Jose ,95118,1445 foxworthy avenue,foxworthy avenue,1445,
99,yellow_pages,House Of Genji,,(408) 883-1427,San Jose ,95112,1335 N 1st St,n 1st st,1335,
100,yellow_pages,AACHI AAPPAKADAI,,(408) 329-4145,Sunnyvale ,94087,1105 W El Camino Real,w el camino real,1105,
101,yellow_pages,Iron Works Barbeque,,(512) 478-4856,,nan,,,,
102,yellow_pages,Frankie Johnnie & Luigi Too!,,(650) 567-5114,Mountain View ,94040,939 W El Camino Real,w el camino real,939,
103,yellow_pages,Round Table Pizza,,,,nan,,,,
104,yellow_pages,Olive Garden Italian Restaurant,,,,nan,,,,
105,yellow_pages,Bay Cafe Restaurant & Banquets,,(650) 600-3454,Palo Alto ,94303,1875 embarcadero road,embarcadero road,1875,
106,yellow_pages,Cha Cha Cha,,(415) 386-7670,San Francisco ,94117,1801 Haight St,haight st,1801,
107,yellow_pages,Maldonado's Pizzeria,,(650) 567-4227,Mountain View ,94040,615 S Rengstorff Ave,s rengstorff ave,615,
108,yellow_pages,Jing-Jing Szechwan Hunan Gourmet,,(650) 328-6885,Palo Alto ,94301,443 Emerson St,emerson st,443,
109,yellow_pages,Kazoo Restaurant,,(408) 288-9611,San Jose ,95112,250 Jackson St,jackson st,250,
110,yellow_pages,St. John's Bar & Grill,,(408) 738-8515,Sunnyvale ,94085,510 lawrence expressway,lawrence expressway,510,
111,yellow_pages,Chantilly Restaurant,,(650) 321-4080,Redwood City ,94061,3001 el camino real,el camino real,3001,
112,yellow_pages,Round Table Pizza,,(408) 245-9000,Sunnyvale ,94086,860 old san francisco road,old san francisco road,860,
113,yellow_pages,Round Table Pizza,,(408) 732-6670,Sunnyvale ,94087,665 S Bernardo Ave,s bernardo ave,665,
114,yellow_pages,Round Table Pizza,,(408) 733-1365,Sunnyvale ,94085,415 N Mary Ave,n mary ave,415,
115,yellow_pages,Round Table Pizza,,(408) 245-5905,Sunnyvale ,94087,1663 hollenbeck avenue,hollenbeck avenue,1663,
116,yellow_pages,Round Table Pizza,,(408) 970-9000,Sunnyvale ,94085,1220 oakmead parkway,oakmead parkway,1220,
117,yellow_pages,Round Table Pizza,,(650) 961-0361,Mountain View ,94043,570 N Shoreline Blvd,n shoreline blvd,570,
118,yellow_pages,Round Table Pizza,,(650) 941-0237,Los Altos ,94022,399 1st St,1st st,399,
119,yellow_pages,World Gourmet Buffet,,(510) 323-2765,Fremont ,94538,6010 stevenson boulevard,stevenson boulevard,6010,
120,yellow_pages,Cascal,,(650) 265-1884,Mountain View ,94041,400 Castro St,castro st,400,
121,yellow_pages,Pho Vy Vietnamese Restaurant,,(408) 739-8844,Sunnyvale ,94085,913 E Duane Ave,e duane ave,913,
122,yellow_pages,Sushi Club,,(408) 738-0408,Sunnyvale ,94085,415 N Mary Ave,n mary ave,415,
123,yellow_pages,Barn Thai Restaurant,,(408) 732-3319,Sunnyvale ,94085,921 E Duane Ave,e duane ave,921,
124,yellow_pages,St. John's Bar & Grill,,(408) 738-8515,Sunnyvale ,94085,510 lawrence expressway,lawrence expressway,510,
125,yellow_pages,Bibimbowl,,(408) 481-9383,Sunnyvale ,94085,415 N Mary Ave,n mary ave,415,
126,yellow_pages,Falafel Bite,,(408) 736-2411,Sunnyvale ,94085,500 lawrence expressway,lawrence expressway,500,
127,yellow_pages,asian spice,,(650) 739-5799,sunnyvale ,94085,440N wolfe road,wolfe road,440n,
128,yellow_pages,Little India Cafe,,(408) 245-6200,Sunnyvale ,94085,415 N Mary Ave,n mary ave,415,
129,yellow_pages,Sunnyvale Cafe,,(408) 530-8191,Sunnyvale ,94085,223 E Maude Ave,e maude ave,223,
130,yellow_pages,Bagel Street Cafe,,(408) 738-1856,Sunnyvale ,94085,346 W Maude Ave,w maude ave,346,
131,yellow_pages,Myzen Ramen,,(408) 245-7779,Sunnyvale ,94085,520 lawrence expressway suite 304,lawrence expressway,520,
132,yellow_pages,Ruby's Taqueria,,(408) 744-0622,Sunnyvale ,94085,821 borregas avenue,borregas avenue,821,
133,yellow_pages,Happy Cafe,,(408) 738-8297,Sunnyvale ,94085,542 Lakeside Dr # 3,lakeside dr,542,
134,yellow_pages,Kori Bbq And wings,,(408) 542-9018,Sunnyvale ,94085,311 N Fair Oaks Ave,n fair oaks ave,311,
135,yellow_pages,Peet's Coffee & Tea,,(408) 737-1834,Sunnyvale ,94085,484 N Mathilda Ave,n mathilda ave,484,
136,yellow_pages,Gombei Bento,,(408) 735-7777,Sunnyvale ,94085,155 E Maude Ave,e maude ave,155,
137,yellow_pages,Marty's Donuts,,(408) 735-0690,Sunnyvale ,94085,350 W Maude Ave,w maude ave,350,
138,yellow_pages,Off The Stick,,(408) 746-9746,Sunnyvale ,94085,927 E Arques Ave,e arques ave,927,
139,yellow_pages,Mediterranean Cuisine,,(408) 685-2269,Sunnyvale ,94085,911 E Duane Ave,e duane ave,911,
140,yellow_pages,Pizza Depot,,(408) 245-7760,Sunnyvale ,94085,919 E Duane Ave,e duane ave,919,
141,yellow_pages,Speedys Tacos,,(408) 685-2791,Sunnyvale ,94085,929 E Duane Ave,e duane ave,929,
142,yellow_pages,High Tech Burrito,,(408) 737-7337,Sunnyvale ,94085,1191 E Arques Ave,e arques ave,1191,
143,yellow_pages,Naivedyam Foods Inc.,,(408) 617-0480,Sunnyvale ,94085,1202 apollo way,apollo way,1202,
144,yellow_pages,Fresh U Order Bakery & Cafe,,(408) 739-1888,Sunnyvale ,94085,500 lawrence expressway,lawrence expressway,500,
145,yellow_pages,Mission City Cafe,,(408) 737-2373,Sunnyvale ,94085,510 lawrence expressway,lawrence expressway,510,
146,yellow_pages,Bagel Place Cafe,,(408) 749-1559,Sunnyvale ,94085,546 Lawrence Expy Ste 1,lawrence expy,546,
147,yellow_pages,Sunrise Restaurant,,(408) 732-7052,Sunnyvale ,94085,542 Lakeside Dr # 940,lakeside dr,542,
148,yellow_pages,Beryls Place,,(408) 530-9887,Sunnyvale ,94085,1250 oakmead parkway,oakmead parkway,1250,
149,yellow_pages,Sunny Deli,,(408) 530-9887,Sunnyvale ,94085,1250 oakmead parkway,oakmead parkway,1250,
150,yellow_pages,Bright Storm,,(408) 542-9314,Sunnyvale ,94085,1270 oakmead parkway,oakmead parkway,1270,
151,yellow_pages,Firehouse Grill and Brewery,,(408) 329-4062,Sunnyvale ,94085,,,,
152,yellow_pages,Senor Jalapeno,,(408) 738-0100,Sunnyvale ,94085,415 N Mary Ave Ste 117,n mary ave,415,
153,yellow_pages,Elephant Express,,(408) 774-9090,Sunnyvale ,94085,302 N Fair Oaks Ave,n fair oaks ave,302,
154,yellow_pages,Shaw's Sandwiches,,(408) 732-1112,Sunnyvale ,94085,470 N Mathilda Ave,n mathilda ave,470,
155,yellow_pages,Little Michoacan Taqueria,,(408) 732-3854,Sunnyvale ,94085,305 N Fair Oaks Ave,n fair oaks ave,305,
156,yellow_pages,Taqueria Latina,,(408) 735-7151,Sunnyvale ,94085,195 E Maude Ave,e maude ave,195,
157,yellow_pages,Vista At Sunnyvale,,(408) 542-9318,Sunnyvale ,94085,605 macara avenue,macara avenue,605,
158,yellow_pages,Tres Potrillos Taqueria,,(408) 735-8657,Sunnyvale ,94085,670 N Fair Oaks Ave,n fair oaks ave,670,
159,yellow_pages,Daily Donuts & Sandwiches,,(408) 737-8697,Sunnyvale ,94085,708 N Fair Oaks Ave,n fair oaks ave,708,
160,yellow_pages,Better Bento,,(408) 720-8889,Sunnyvale ,94085,550 Lakeside Dr # 1,lakeside dr,550,
161,yellow_pages,Badal Indian Cuisine,,(408) 245-7600,Sunnyvale ,94085,,,,
162,yellow_pages,Dish N Dash,,(408) 530-9200,Sunnyvale ,94085,736 N Mathilda Ave,n mathilda ave,736,
163,yellow_pages,iChaat Cafe,,(408) 245-4242,Sunnyvale ,94085,1208 E Arques Ave,e arques ave,1208,
164,yellow_pages,Antojitos Salvadorenos Restaurant,,(408) 720-1463,Sunnyvale ,94085,911 E Duane Ave Ste A,e duane ave,911,
165,yellow_pages,Subway,,(408) 720-1774,Sunnyvale ,94085,415 N Mary Ave,n mary ave,415,
166,yellow_pages,Wendy's,,(408) 739-2653,Sunnyvale ,94085,485 N Mathilda Ave,n mathilda ave,485,
167,yellow_pages,Subway,,(408) 732-3436,Sunnyvale ,94085,927 E Arques Ave Unit A,e arques ave,927,
168,yellow_pages,Burger King,,(408) 736-0101,Sunnyvale ,94085,773 N Mathilda Ave,n mathilda ave,773,
169,yellow_pages,Subway,,(408) 732-1952,Sunnyvale ,94085,500 Lawrence Expy Suite G,lawrence expy,500,
170,yellow_pages,Togo's Eatery,,(408) 735-1102,Sunnyvale ,94085,540 lawrence expressway,lawrence expressway,540,
171,yellow_pages,McDonald's,,(408) 733-2730,Sunnyvale ,94085,550 lawrence expressway,lawrence expressway,550,
172,yellow_pages,KFC,,(408) 730-0511,Sunnyvale ,94085,340 W Maude Ave,w maude ave,340,
173,yellow_pages,Domino's Pizza,,(408) 732-3030,Sunnyvale ,94085,615 Caliente Dr,caliente dr,615,
174,yellow_pages,McDonald's,,(408) 733-5319,Sunnyvale ,94085,615 N Mathilda Ave,n mathilda ave,615,
175,yellow_pages,Agape Grill,,(408) 739-3354,Sunnyvale ,94085,845 Stewart Dr Ste A,stewart dr,845,
176,yellow_pages,Faultline Brewing Company,,(408) 736-2739,Sunnyvale ,94085,1235 oakmead parkway,oakmead parkway,1235,
177,yellow_pages,Quarter Note,,(408) 732-2110,Sunnyvale ,94085,1214 Apollo Way Ste 403,apollo way,1214,
178,yellow_pages,TL BEER GARDEN (Taverna Lounge),,(408) 900-8252,Sunnyvale ,94085,769 N Mathilda Ave,n mathilda ave,769,
179,yellow_pages,La Boulanger Inc,,(408) 774-9000,Sunnyvale ,94085,305 N Mathilda Ave,n mathilda ave,305,
180,yellow_pages,Jamba Juice,,(408) 737-8377,Sunnyvale ,94085,415 N Mary Ave Ste 109,n mary ave,415,
181,yellow_pages,T L Beer Garden,,(408) 900-8252,Sunnyvale ,94085,769 N Mathilda Ave,n mathilda ave,769,
182,yellow_pages,Daddy Dough Bake Shop,,(408) 720-0270,Sunnyvale ,94085,907 E Duane Ave,e duane ave,907,
183,yellow_pages,Danielle's Cafe and Bake Shop,,(408) 962-0606,Sunnyvale ,94085,907 E Duane Ave,e duane ave,907,
184,yellow_pages,Una Mas,,(408) 720-8226,Sunnyvale ,94085,548 lawrence expressway,lawrence expressway,548,
185,yellow_pages,Sichuan Gourmet,,(408) 738-8297,Sunnyvale ,94085,542 Lakeside Dr,lakeside dr,542,
186,yellow_pages,Rene Rose Island Cuisine,,(408) 733-3691,Sunnyvale ,94085,621 Caliente Dr,caliente dr,621,
187,yellow_pages,408 Peacock,,(408) 732-2625,Sunnyvale ,94085,933 E Duane Ave,e duane ave,933,
188,yellow_pages,Pezzella's Villa Napoli,,(408) 738-2400,Sunnyvale ,94087,1025 W El Camino Real,w el camino real,1025,
189,yellow_pages,Tarragon Restaurant,,(408) 737-8003,Sunnyvale ,94086,140 S Murphy Ave,s murphy ave,140,
190,yellow_pages,Bay Leaf Restaurant,,(408) 481-9983,Sunnyvale ,94086,122 S Sunnyvale Ave,s sunnyvale ave,122,
191,yellow_pages,Chocolate Sushi & Tofu House,,(408) 830-0638,Sunnyvale ,94087,595 E El Camino Real,e el camino real,595,
192,yellow_pages,Tao Tao Restaurant,,(408) 736-3731,Sunnyvale ,94086,175 S Murphy Ave,s murphy ave,175,
193,yellow_pages,AACHI AAPPAKADAI,,(408) 329-4145,Sunnyvale ,94087,1105 W El Camino Real,w el camino real,1105,
194,yellow_pages,Il Postale,,(408) 733-9600,Sunnyvale ,94086,127 W Washington Ave,w washington ave,127,
195,yellow_pages,The Old Siam,,(408) 530-8552,Sunnyvale ,94087,1111 W El Camino Real Ste 137,w el camino real,1111,
196,yellow_pages,Gumba's Italian Restaurant,,(408) 737-8384,Sunnyvale ,94086,176 S Murphy Ave,s murphy ave,176,
197,yellow_pages,Turmeric Restaurant,,(408) 617-9100,Sunnyvale ,94086,141 S Murphy Ave,s murphy ave,141,
198,yellow_pages,P.F. Chang's,,(408) 991-9078,Sunnyvale ,94087,390 W El Camino Real,w el camino real,390,
199,yellow_pages,Katana Sushi & Sake,,(408) 746-3000,Sunnyvale ,94087,411 E El Camino Real,e el camino real,411,
200,yellow_pages,Thai Basil,,(408) 773-1098,Sunnyvale ,94086,101 S Murphy Ave,s murphy ave,101,
201,yellow_pages,The Cheese Steak Shop,,(408) 530-8159,Sunnyvale ,94087,832 W El Camino Real,w el camino real,832,
202,yellow_pages,Pasta Pomodoro,,(408) 789-0037,Sunnyvale ,94087,300 W El Camino Real,w el camino real,300,
203,yellow_pages,Arka Indian Restaurant,,(408) 733-2752,Sunnyvale ,94086,725 S Fair Oaks Ave,s fair oaks ave,725,
204,yellow_pages,Inchin's Bamboo Garden,,(408) 481-9350,Sunnyvale ,94086,151 W Washington Ave,w washington ave,151,
205,yellow_pages,King Wah Chinese Restaurant,,(408) 245-2647,Sunnyvale ,94086,219 E Washington Ave,e washington ave,219,
206,yellow_pages,Armadillo Willy's,,(408) 245-5300,Sunnyvale ,94087,161 E El Camino Real,e el camino real,161,
207,yellow_pages,Thai Spoons,,(408) 739-1798,Sunnyvale ,94087,909 W El Camino Real,w el camino real,909,
208,yellow_pages,Ramen Seas,,(408) 481-0900,Sunnyvale ,94086,173 S Murphy Ave,s murphy ave,173,
209,yellow_pages,Smashburger,,(408) 215-1730,Sunnyvale ,94087,328 W El Camino Real,w el camino real,328,
210,yellow_pages,Boudin Bakery,,(408) 419-0777,Sunnyvale ,94087,701 sunnyvale saratoga road,sunnyvale saratoga road,701,
211,yellow_pages,Tao Tao Restaurant,,(408) 736-3731,Sunnyvale ,94086,175 S Murphy Ave,s murphy ave,175,
212,yellow_pages,Kirk's Steakburgers,,(408) 371-3565,Campbell ,95008,2388 S Bascom Ave,s bascom ave,2388,
213,yellow_pages,Dinner at Buca di Beppo,,,,nan,,,,
214,yellow_pages,Sara's Kitchen,,(408) 247-7272,Santa Clara ,95050,1595 Franklin St,franklin st,1595,
215,yellow_pages,Korea House,,(408) 249-0808,Santa Clara ,95050,2340 el camino real,el camino real,2340,
216,yellow_pages,Neto's Market And Grill,,(408) 296-0818,Santa Clara ,95050,1313 Franklin St,franklin st,1313,
217,yellow_pages,Ninety-Nine Restaurant and Pub,,(408) 241-9658,Santa Clara ,95050,2325 El Camino Real Ste 101,el camino real,2325,
218,yellow_pages,House Of Soul Food,,(408) 227-7685,Santa Clara ,95050,1290 coleman avenue,coleman avenue,1290,
219,yellow_pages,King Chopstick,,(408) 243-1868,Santa Clara ,95050,2374 el camino real,el camino real,2374,
220,yellow_pages,Golden Mushroom Pizzeria,,(408) 247-9671,Santa Clara ,95050,202 saratoga avenue,saratoga avenue,202,
221,yellow_pages,House of Egg Roll,,(408) 246-6849,Santa Clara ,95050,1686 Lafayette St,lafayette st,1686,
222,yellow_pages,Mio Vicino,,(408) 241-9414,Santa Clara ,95050,1290 Benton St,benton st,1290,
223,yellow_pages,Fiorillo's Restaurant Inc.,,(408) 766-7527,Santa Clara ,95050,638 el camino real,el camino real,638,
224,yellow_pages,Round Table Pizza,,(408) 248-9123,Santa Clara ,95050,2615 the alameda,the alameda,2615,
225,yellow_pages,Thai Pepper,,(408) 984-1931,Santa Clara ,95050,1045 Monroe St,monroe st,1045,
226,yellow_pages,Mayuri Indian Cuisine,,(408) 248-9747,Santa Clara ,95050,2230 el camino real,el camino real,2230,
227,yellow_pages,Andy's BBQ,,(408) 249-8158,Santa Clara ,95050,2367 el camino real,el camino real,2367,
228,yellow_pages,Fiorillos Restaurant Inc.,,(408) 984-0414,Santa Clara ,95050,638 el camino real,el camino real,638,
229,yellow_pages,Dusita Thai Cuisine,,(408) 247-5199,Santa Clara ,95050,2325 El Camino Real Ste 104,el camino real,2325,
