#key=_id
#ltable=POINTER
#rtable=POINTER
#foreign_key_ltable=ltable.id
#foreign_key_rtable=rtable.id
_id,ltable.id,rtable.id,ltable.address,ltable.city,ltable.name,ltable.phone,ltable.state,ltable.zipcode,rtable.address,rtable.city,rtable.name,rtable.phone,rtable.state,rtable.zipcode
76,25,36,920 E Arques Ave,Sunnyvale ,Sri Ananda Bhavan,(408) 735-1111,CA,94085.0,920E Arques Ave,Sunnyvale,Ananda Bhavan,(408) 735-1111,CA,94085.0
82,27,25,911 E Duane Ave,Sunnyvale ,El Calbonero Restaurant,(408) 720-1077,CA,94085.0,901 E Duane Ave,Sunnyvale,Tia Juana Restaurant,(408) 730-8578,CA,94085.0
83,27,114,911 E Duane Ave,Sunnyvale ,El Calbonero Restaurant,(408) 720-1077,CA,94085.0,921 E Duane Ave,Sunnyvale,Barn Thai Restaurant,(408) 732-3319,CA,94085.0
84,29,38,548 Lawrence Expy,Sunnyvale ,Merit Vegetarian Restaurant,(408) 245-8988,CA,94085.0,548 Lawrence Expy,Sunnyvale,Merit Vegetarian,(408) 245-8988,CA,94086.0
128,34,244,638 El Camino Real,Santa Clara ,Fiorillo's Restaurant Inc.,(408) 766-7527,CA,95050.0,2110 El Camino Real,Santa Clara,China Stix Restaurant,(408) 244-1684,CA,95050.0
150,34,738,638 El Camino Real,Santa Clara ,Fiorillo's Restaurant Inc.,(408) 766-7527,CA,95050.0,3001 El Camino Real,Redwood City,Chantilly Restaurant,(650) 321-4080,CA,94061.0
164,34,814,638 El Camino Real,Santa Clara ,Fiorillo's Restaurant Inc.,(408) 766-7527,CA,95050.0,1742 El Camino Real,Redwood City,Thai House Restaurant,(650) 299-9495,CA,94063.0
198,34,1308,638 El Camino Real,Santa Clara ,Fiorillo's Restaurant Inc.,(408) 766-7527,CA,95050.0,2507 S El Camino Real,San Mateo,Oceanic Restaurant,(650) 570-4234,CA,94403.0
214,34,1382,638 El Camino Real,Santa Clara ,Fiorillo's Restaurant Inc.,(408) 766-7527,CA,95050.0,1438 El Camino Real,Menlo Park,Gombei Japanese Restaurant,(650) 329-1799,CA,94025.0
219,34,1414,638 El Camino Real,Santa Clara ,Fiorillo's Restaurant Inc.,(408) 766-7527,CA,95050.0,1368 El Camino Real,Menlo Park,Fey Restaurant,(650) 324-8888,CA,94025.0
220,34,1417,638 El Camino Real,Santa Clara ,Fiorillo's Restaurant Inc.,(408) 766-7527,CA,95050.0,211 El Camino Real,Menlo Park,Koma Sushi Restaurant,(650) 321-5662,CA,94025.0
223,34,1451,638 El Camino Real,Santa Clara ,Fiorillo's Restaurant Inc.,(408) 766-7527,CA,95050.0,1077 El Camino Real,Menlo Park,Trellis Restaurant,(650) 326-9028,CA,94025.0
235,34,1702,638 El Camino Real,Santa Clara ,Fiorillo's Restaurant Inc.,(408) 766-7527,CA,95050.0,1438 El Camino Real,Menlo Park,Gombei Japanese Restaurant,(650) 329-1799,CA,94025.0
239,34,1714,638 El Camino Real,Santa Clara ,Fiorillo's Restaurant Inc.,(408) 766-7527,CA,95050.0,1368 El Camino Real,Menlo Park,Fey Restaurant,(650) 324-8888,CA,94025.0
245,34,1742,638 El Camino Real,Santa Clara ,Fiorillo's Restaurant Inc.,(408) 766-7527,CA,95050.0,3001 El Camino Real,Redwood City,Chantilly Restaurant,(650) 321-4080,CA,94061.0
249,34,1762,638 El Camino Real,Santa Clara ,Fiorillo's Restaurant Inc.,(408) 766-7527,CA,95050.0,1077 El Camino Real,Menlo Park,Trellis Restaurant,(650) 326-9028,CA,94025.0
289,36,110,2789 El Camino Real,Santa Clara ,Sushi O Sushi Japanese Cuisine,(408) 241-1677,CA,95051.0,411 E El Camino Real,Sunnyvale,Katana Sushi & Sake,(408) 746-3000,CA,94087.0
291,36,116,2789 El Camino Real,Santa Clara ,Sushi O Sushi Japanese Cuisine,(408) 241-1677,CA,95051.0,595 E El Camino Real,Sunnyvale,Olleh Sushi and Tofu House,(408) 830-0628,CA,94086.0
305,36,192,2789 El Camino Real,Santa Clara ,Sushi O Sushi Japanese Cuisine,(408) 241-1677,CA,95051.0,2325 El Camino Real,Santa Clara,Dusita Thai Cuisine,(408) 247-5199,CA,95050.0
323,36,265,2789 El Camino Real,Santa Clara ,Sushi O Sushi Japanese Cuisine,(408) 241-1677,CA,95051.0,2232 El Camino Real,Santa Clara,Mayuri Indian Cuisine,(408) 248-9747,CA,95050.0
326,36,283,2789 El Camino Real,Santa Clara ,Sushi O Sushi Japanese Cuisine,(408) 241-1677,CA,95051.0,2783 El Camino Real,Santa Clara,Shabuway Japanese Style Hot Pot,(408) 244-8500,CA,95051.0
329,36,294,2789 El Camino Real,Santa Clara ,Sushi O Sushi Japanese Cuisine,(408) 241-1677,CA,95051.0,2789 El Camino Real,Santa Clara,Sushi O Sushi,(408) 241-1677,CA,95051.0
345,36,777,2789 El Camino Real,Santa Clara ,Sushi O Sushi Japanese Cuisine,(408) 241-1677,CA,95051.0,825 El Camino Real,Redwood City,Bangkok Bay Thai Cuisine,(650) 365-5369,CA,94063.0
371,36,1197,2789 El Camino Real,Santa Clara ,Sushi O Sushi Japanese Cuisine,(408) 241-1677,CA,95051.0,135 El Camino Real,San Carlos,Kabul Afghan Cuisine,(650) 594-2840,CA,94070.0
404,36,1382,2789 El Camino Real,Santa Clara ,Sushi O Sushi Japanese Cuisine,(408) 241-1677,CA,95051.0,1438 El Camino Real,Menlo Park,Gombei Japanese Restaurant,(650) 329-1799,CA,94025.0
410,36,1417,2789 El Camino Real,Santa Clara ,Sushi O Sushi Japanese Cuisine,(408) 241-1677,CA,95051.0,211 El Camino Real,Menlo Park,Koma Sushi Restaurant,(650) 321-5662,CA,94025.0
414,36,1468,2789 El Camino Real,Santa Clara ,Sushi O Sushi Japanese Cuisine,(408) 241-1677,CA,95051.0,1328 El Camino Real,Menlo Park,Naomi Sushi,(650) 321-6902,CA,94025.0
420,36,1508,2789 El Camino Real,Santa Clara ,Sushi O Sushi Japanese Cuisine,(408) 241-1677,CA,95051.0,925 El Camino Real,Menlo Park,Akasaka Sushi,(650) 325-0444,CA,94025.0
425,36,1702,2789 El Camino Real,Santa Clara ,Sushi O Sushi Japanese Cuisine,(408) 241-1677,CA,95051.0,1438 El Camino Real,Menlo Park,Gombei Japanese Restaurant,(650) 329-1799,CA,94025.0
432,36,1729,2789 El Camino Real,Santa Clara ,Sushi O Sushi Japanese Cuisine,(408) 241-1677,CA,95051.0,1328 El Camino Real,Menlo Park,Naomi Sushi,(650) 321-6902,CA,94025.0
437,36,1754,2789 El Camino Real,Santa Clara ,Sushi O Sushi Japanese Cuisine,(408) 241-1677,CA,95051.0,3401 W El Camino Real,Atherton,Bonsai Japanese Cuisine,(650) 367-6547,CA,94027.0
447,36,1810,2789 El Camino Real,Santa Clara ,Sushi O Sushi Japanese Cuisine,(408) 241-1677,CA,95051.0,925 El Camino Real,Menlo Park,Akasaka Sushi,(650) 325-0444,CA,94025.0
848,48,1076,443 Emerson St,Palo Alto ,Jing-Jing Szechwan Hunan Gourmet,(650) 328-6885,CA,94301.0,443 Emerson St,Palo Alto,Jing-Jing Szechwan Hunan Gourmet,(650) 328-6885,CA,94301.0
849,48,1473,443 Emerson St,Palo Alto ,Jing-Jing Szechwan Hunan Gourmet,(650) 328-6885,CA,94301.0,443 Emerson St,Palo Alto,Jing-Jing Szechwan Hunan Gourmet,(650) 328-6885,CA,94301.0
891,51,244,3001 El Camino Real,Redwood City ,Chantilly Restaurant,(650) 321-4080,CA,94061.0,2110 El Camino Real,Santa Clara,China Stix Restaurant,(408) 244-1684,CA,95050.0
913,51,738,3001 El Camino Real,Redwood City ,Chantilly Restaurant,(650) 321-4080,CA,94061.0,3001 El Camino Real,Redwood City,Chantilly Restaurant,(650) 321-4080,CA,94061.0
927,51,814,3001 El Camino Real,Redwood City ,Chantilly Restaurant,(650) 321-4080,CA,94061.0,1742 El Camino Real,Redwood City,Thai House Restaurant,(650) 299-9495,CA,94063.0
961,51,1308,3001 El Camino Real,Redwood City ,Chantilly Restaurant,(650) 321-4080,CA,94061.0,2507 S El Camino Real,San Mateo,Oceanic Restaurant,(650) 570-4234,CA,94403.0
977,51,1382,3001 El Camino Real,Redwood City ,Chantilly Restaurant,(650) 321-4080,CA,94061.0,1438 El Camino Real,Menlo Park,Gombei Japanese Restaurant,(650) 329-1799,CA,94025.0
982,51,1414,3001 El Camino Real,Redwood City ,Chantilly Restaurant,(650) 321-4080,CA,94061.0,1368 El Camino Real,Menlo Park,Fey Restaurant,(650) 324-8888,CA,94025.0
983,51,1417,3001 El Camino Real,Redwood City ,Chantilly Restaurant,(650) 321-4080,CA,94061.0,211 El Camino Real,Menlo Park,Koma Sushi Restaurant,(650) 321-5662,CA,94025.0
986,51,1451,3001 El Camino Real,Redwood City ,Chantilly Restaurant,(650) 321-4080,CA,94061.0,1077 El Camino Real,Menlo Park,Trellis Restaurant,(650) 326-9028,CA,94025.0
998,51,1702,3001 El Camino Real,Redwood City ,Chantilly Restaurant,(650) 321-4080,CA,94061.0,1438 El Camino Real,Menlo Park,Gombei Japanese Restaurant,(650) 329-1799,CA,94025.0
1002,51,1714,3001 El Camino Real,Redwood City ,Chantilly Restaurant,(650) 321-4080,CA,94061.0,1368 El Camino Real,Menlo Park,Fey Restaurant,(650) 324-8888,CA,94025.0
1008,51,1742,3001 El Camino Real,Redwood City ,Chantilly Restaurant,(650) 321-4080,CA,94061.0,3001 El Camino Real,Redwood City,Chantilly Restaurant,(650) 321-4080,CA,94061.0
1012,51,1762,3001 El Camino Real,Redwood City ,Chantilly Restaurant,(650) 321-4080,CA,94061.0,1077 El Camino Real,Menlo Park,Trellis Restaurant,(650) 326-9028,CA,94025.0
1052,61,54,175 S Murphy Ave,Sunnyvale ,Tao Tao Restaurant,(408) 736-3731,CA,94086.0,141 S Murphy Ave,Sunnyvale,Turmeric Restaurant,(408) 617-9100,CA,94086.0
1055,61,72,175 S Murphy Ave,Sunnyvale ,Tao Tao Restaurant,(408) 736-3731,CA,94086.0,140 S Murphy Ave,Sunnyvale,Tarragon Restaurant,(408) 737-8003,CA,94086.0
1059,61,134,175 S Murphy Ave,Sunnyvale ,Tao Tao Restaurant,(408) 736-3731,CA,94086.0,175 S Murphy Ave,Sunnyvale,Tao Tao Cafe,(408) 736-3731,CA,94086.0
1063,63,141,1214 Apollo Way # 404-B,Sunnyvale ,Sneha South & North Indian Restaurant,(408) 481-0700,CA,94085.0,1214 Apollo Way,Sunnyvale,Sneha,(408) 481-0700,CA,94085.0
1069,67,46,528 Lawrence Expy,Sunnyvale ,Tasty Indian Pizza,(408) 738-8761,CA,94085.0,528 Lawrence Expy,Sunnyvale,Tasty Subs & Pizza,(408) 738-8761,CA,94085.0
1070,67,52,528 Lawrence Expy,Sunnyvale ,Tasty Indian Pizza,(408) 738-8761,CA,94085.0,528 Lawrence Expy,Sunnyvale,Tasty Indian Pizza,(408) 642-7672,CA,94085.0
1071,68,76,511 Borregas Ave,Sunnyvale ,Seto Japanese Cuisine,(408) 735-8280,CA,94085.0,511 Borregas Ave,Sunnyvale,Seto Restaurant,(408) 735-8280,CA,94085.0
1082,71,13,253 E Maude Ave,Sunnyvale ,Pho Lovers,(408) 530-8583,CA,94085.0,253 E Maude Ave,Sunnyvale,Pho Lovers,(408) 530-8583,CA,94085.0
1098,76,3,905 E Duane Ave,Sunnyvale ,Clarita's Filipino Cuisine,(408) 735-1721,CA,94085.0,911 E Duane Ave,Sunnyvale,Obed Mediterranean Cuisine,(408) 685-2269,CA,94085.0
1107,79,71,500 Lawrence Expy Ste B,Sunnyvale ,Thai Thai Restaurant,(408) 733-2626,CA,94085.0,500 Lawrence Expy,Sunnyvale,Luv Pho Restaurant,(408) 733-8883,CA,94085.0
1108,79,109,500 Lawrence Expy Ste B,Sunnyvale ,Thai Thai Restaurant,(408) 733-2626,CA,94085.0,500 Lawrence Expy,Sunnyvale,Pad Thai Cuisine,(408) 733-2626,CA,94085.0
1111,80,71,500 Lawrence Expy,Sunnyvale ,Luv Pho,(408) 733-8883,CA,94085.0,500 Lawrence Expy,Sunnyvale,Luv Pho Restaurant,(408) 733-8883,CA,94085.0
1113,81,53,520 Lawrence Expy Ste 310,Sunnyvale ,Chaats & Currys,(408) 746-9192,CA,94085.0,520 Lawrence Expy,Sunnyvale,Chaats & Currys,(408) 746-9192,CA,94085.0
1121,84,25,901 E Duane Ave,Sunnyvale ,Tia Juana Mexican Grill,(408) 730-8578,CA,94085.0,901 E Duane Ave,Sunnyvale,Tia Juana Restaurant,(408) 730-8578,CA,94085.0
1123,85,36,920 E Arques Ave,Sunnyvale ,Sri Ananda Bhavan,(408) 735-1111,CA,94085.0,920E Arques Ave,Sunnyvale,Ananda Bhavan,(408) 735-1111,CA,94085.0
1129,87,25,911 E Duane Ave,Sunnyvale ,El Calbonero Restaurant,(408) 720-1077,CA,94085.0,901 E Duane Ave,Sunnyvale,Tia Juana Restaurant,(408) 730-8578,CA,94085.0
1130,87,114,911 E Duane Ave,Sunnyvale ,El Calbonero Restaurant,(408) 720-1077,CA,94085.0,921 E Duane Ave,Sunnyvale,Barn Thai Restaurant,(408) 732-3319,CA,94085.0
1131,89,38,548 Lawrence Expy,Sunnyvale ,Merit Vegetarian Restaurant,(408) 245-8988,CA,94085.0,548 Lawrence Expy,Sunnyvale,Merit Vegetarian,(408) 245-8988,CA,94086.0
1175,94,244,638 El Camino Real,Santa Clara ,Fiorillo's Restaurant Inc.,(408) 766-7527,CA,95050.0,2110 El Camino Real,Santa Clara,China Stix Restaurant,(408) 244-1684,CA,95050.0
1197,94,738,638 El Camino Real,Santa Clara ,Fiorillo's Restaurant Inc.,(408) 766-7527,CA,95050.0,3001 El Camino Real,Redwood City,Chantilly Restaurant,(650) 321-4080,CA,94061.0
1211,94,814,638 El Camino Real,Santa Clara ,Fiorillo's Restaurant Inc.,(408) 766-7527,CA,95050.0,1742 El Camino Real,Redwood City,Thai House Restaurant,(650) 299-9495,CA,94063.0
1245,94,1308,638 El Camino Real,Santa Clara ,Fiorillo's Restaurant Inc.,(408) 766-7527,CA,95050.0,2507 S El Camino Real,San Mateo,Oceanic Restaurant,(650) 570-4234,CA,94403.0
1261,94,1382,638 El Camino Real,Santa Clara ,Fiorillo's Restaurant Inc.,(408) 766-7527,CA,95050.0,1438 El Camino Real,Menlo Park,Gombei Japanese Restaurant,(650) 329-1799,CA,94025.0
1266,94,1414,638 El Camino Real,Santa Clara ,Fiorillo's Restaurant Inc.,(408) 766-7527,CA,95050.0,1368 El Camino Real,Menlo Park,Fey Restaurant,(650) 324-8888,CA,94025.0
1267,94,1417,638 El Camino Real,Santa Clara ,Fiorillo's Restaurant Inc.,(408) 766-7527,CA,95050.0,211 El Camino Real,Menlo Park,Koma Sushi Restaurant,(650) 321-5662,CA,94025.0
1270,94,1451,638 El Camino Real,Santa Clara ,Fiorillo's Restaurant Inc.,(408) 766-7527,CA,95050.0,1077 El Camino Real,Menlo Park,Trellis Restaurant,(650) 326-9028,CA,94025.0
1282,94,1702,638 El Camino Real,Santa Clara ,Fiorillo's Restaurant Inc.,(408) 766-7527,CA,95050.0,1438 El Camino Real,Menlo Park,Gombei Japanese Restaurant,(650) 329-1799,CA,94025.0
1286,94,1714,638 El Camino Real,Santa Clara ,Fiorillo's Restaurant Inc.,(408) 766-7527,CA,95050.0,1368 El Camino Real,Menlo Park,Fey Restaurant,(650) 324-8888,CA,94025.0
1292,94,1742,638 El Camino Real,Santa Clara ,Fiorillo's Restaurant Inc.,(408) 766-7527,CA,95050.0,3001 El Camino Real,Redwood City,Chantilly Restaurant,(650) 321-4080,CA,94061.0
1296,94,1762,638 El Camino Real,Santa Clara ,Fiorillo's Restaurant Inc.,(408) 766-7527,CA,95050.0,1077 El Camino Real,Menlo Park,Trellis Restaurant,(650) 326-9028,CA,94025.0
1336,96,110,2789 El Camino Real,Santa Clara ,Sushi O Sushi Japanese Cuisine,(408) 241-1677,CA,95051.0,411 E El Camino Real,Sunnyvale,Katana Sushi & Sake,(408) 746-3000,CA,94087.0
1338,96,116,2789 El Camino Real,Santa Clara ,Sushi O Sushi Japanese Cuisine,(408) 241-1677,CA,95051.0,595 E El Camino Real,Sunnyvale,Olleh Sushi and Tofu House,(408) 830-0628,CA,94086.0
1352,96,192,2789 El Camino Real,Santa Clara ,Sushi O Sushi Japanese Cuisine,(408) 241-1677,CA,95051.0,2325 El Camino Real,Santa Clara,Dusita Thai Cuisine,(408) 247-5199,CA,95050.0
1370,96,265,2789 El Camino Real,Santa Clara ,Sushi O Sushi Japanese Cuisine,(408) 241-1677,CA,95051.0,2232 El Camino Real,Santa Clara,Mayuri Indian Cuisine,(408) 248-9747,CA,95050.0
1373,96,283,2789 El Camino Real,Santa Clara ,Sushi O Sushi Japanese Cuisine,(408) 241-1677,CA,95051.0,2783 El Camino Real,Santa Clara,Shabuway Japanese Style Hot Pot,(408) 244-8500,CA,95051.0
1376,96,294,2789 El Camino Real,Santa Clara ,Sushi O Sushi Japanese Cuisine,(408) 241-1677,CA,95051.0,2789 El Camino Real,Santa Clara,Sushi O Sushi,(408) 241-1677,CA,95051.0
1392,96,777,2789 El Camino Real,Santa Clara ,Sushi O Sushi Japanese Cuisine,(408) 241-1677,CA,95051.0,825 El Camino Real,Redwood City,Bangkok Bay Thai Cuisine,(650) 365-5369,CA,94063.0
1418,96,1197,2789 El Camino Real,Santa Clara ,Sushi O Sushi Japanese Cuisine,(408) 241-1677,CA,95051.0,135 El Camino Real,San Carlos,Kabul Afghan Cuisine,(650) 594-2840,CA,94070.0
1451,96,1382,2789 El Camino Real,Santa Clara ,Sushi O Sushi Japanese Cuisine,(408) 241-1677,CA,95051.0,1438 El Camino Real,Menlo Park,Gombei Japanese Restaurant,(650) 329-1799,CA,94025.0
1457,96,1417,2789 El Camino Real,Santa Clara ,Sushi O Sushi Japanese Cuisine,(408) 241-1677,CA,95051.0,211 El Camino Real,Menlo Park,Koma Sushi Restaurant,(650) 321-5662,CA,94025.0
1461,96,1468,2789 El Camino Real,Santa Clara ,Sushi O Sushi Japanese Cuisine,(408) 241-1677,CA,95051.0,1328 El Camino Real,Menlo Park,Naomi Sushi,(650) 321-6902,CA,94025.0
1467,96,1508,2789 El Camino Real,Santa Clara ,Sushi O Sushi Japanese Cuisine,(408) 241-1677,CA,95051.0,925 El Camino Real,Menlo Park,Akasaka Sushi,(650) 325-0444,CA,94025.0
1472,96,1702,2789 El Camino Real,Santa Clara ,Sushi O Sushi Japanese Cuisine,(408) 241-1677,CA,95051.0,1438 El Camino Real,Menlo Park,Gombei Japanese Restaurant,(650) 329-1799,CA,94025.0
1479,96,1729,2789 El Camino Real,Santa Clara ,Sushi O Sushi Japanese Cuisine,(408) 241-1677,CA,95051.0,1328 El Camino Real,Menlo Park,Naomi Sushi,(650) 321-6902,CA,94025.0
1484,96,1754,2789 El Camino Real,Santa Clara ,Sushi O Sushi Japanese Cuisine,(408) 241-1677,CA,95051.0,3401 W El Camino Real,Atherton,Bonsai Japanese Cuisine,(650) 367-6547,CA,94027.0
1494,96,1810,2789 El Camino Real,Santa Clara ,Sushi O Sushi Japanese Cuisine,(408) 241-1677,CA,95051.0,925 El Camino Real,Menlo Park,Akasaka Sushi,(650) 325-0444,CA,94025.0
1895,108,1076,443 Emerson St,Palo Alto ,Jing-Jing Szechwan Hunan Gourmet,(650) 328-6885,CA,94301.0,443 Emerson St,Palo Alto,Jing-Jing Szechwan Hunan Gourmet,(650) 328-6885,CA,94301.0
1896,108,1473,443 Emerson St,Palo Alto ,Jing-Jing Szechwan Hunan Gourmet,(650) 328-6885,CA,94301.0,443 Emerson St,Palo Alto,Jing-Jing Szechwan Hunan Gourmet,(650) 328-6885,CA,94301.0
1938,111,244,3001 El Camino Real,Redwood City ,Chantilly Restaurant,(650) 321-4080,CA,94061.0,2110 El Camino Real,Santa Clara,China Stix Restaurant,(408) 244-1684,CA,95050.0
1960,111,738,3001 El Camino Real,Redwood City ,Chantilly Restaurant,(650) 321-4080,CA,94061.0,3001 El Camino Real,Redwood City,Chantilly Restaurant,(650) 321-4080,CA,94061.0
1974,111,814,3001 El Camino Real,Redwood City ,Chantilly Restaurant,(650) 321-4080,CA,94061.0,1742 El Camino Real,Redwood City,Thai House Restaurant,(650) 299-9495,CA,94063.0
2008,111,1308,3001 El Camino Real,Redwood City ,Chantilly Restaurant,(650) 321-4080,CA,94061.0,2507 S El Camino Real,San Mateo,Oceanic Restaurant,(650) 570-4234,CA,94403.0
2024,111,1382,3001 El Camino Real,Redwood City ,Chantilly Restaurant,(650) 321-4080,CA,94061.0,1438 El Camino Real,Menlo Park,Gombei Japanese Restaurant,(650) 329-1799,CA,94025.0
2029,111,1414,3001 El Camino Real,Redwood City ,Chantilly Restaurant,(650) 321-4080,CA,94061.0,1368 El Camino Real,Menlo Park,Fey Restaurant,(650) 324-8888,CA,94025.0
2030,111,1417,3001 El Camino Real,Redwood City ,Chantilly Restaurant,(650) 321-4080,CA,94061.0,211 El Camino Real,Menlo Park,Koma Sushi Restaurant,(650) 321-5662,CA,94025.0
2033,111,1451,3001 El Camino Real,Redwood City ,Chantilly Restaurant,(650) 321-4080,CA,94061.0,1077 El Camino Real,Menlo Park,Trellis Restaurant,(650) 326-9028,CA,94025.0
2045,111,1702,3001 El Camino Real,Redwood City ,Chantilly Restaurant,(650) 321-4080,CA,94061.0,1438 El Camino Real,Menlo Park,Gombei Japanese Restaurant,(650) 329-1799,CA,94025.0
2049,111,1714,3001 El Camino Real,Redwood City ,Chantilly Restaurant,(650) 321-4080,CA,94061.0,1368 El Camino Real,Menlo Park,Fey Restaurant,(650) 324-8888,CA,94025.0
2055,111,1742,3001 El Camino Real,Redwood City ,Chantilly Restaurant,(650) 321-4080,CA,94061.0,3001 El Camino Real,Redwood City,Chantilly Restaurant,(650) 321-4080,CA,94061.0
2059,111,1762,3001 El Camino Real,Redwood City ,Chantilly Restaurant,(650) 321-4080,CA,94061.0,1077 El Camino Real,Menlo Park,Trellis Restaurant,(650) 326-9028,CA,94025.0
2095,121,25,913 E Duane Ave,Sunnyvale ,Pho Vy Vietnamese Restaurant,(408) 739-8844,CA,94085.0,901 E Duane Ave,Sunnyvale,Tia Juana Restaurant,(408) 730-8578,CA,94085.0
2096,121,114,913 E Duane Ave,Sunnyvale ,Pho Vy Vietnamese Restaurant,(408) 739-8844,CA,94085.0,921 E Duane Ave,Sunnyvale,Barn Thai Restaurant,(408) 732-3319,CA,94085.0
2100,123,25,921 E Duane Ave,Sunnyvale ,Barn Thai Restaurant,(408) 732-3319,CA,94085.0,901 E Duane Ave,Sunnyvale,Tia Juana Restaurant,(408) 730-8578,CA,94085.0
2101,123,114,921 E Duane Ave,Sunnyvale ,Barn Thai Restaurant,(408) 732-3319,CA,94085.0,921 E Duane Ave,Sunnyvale,Barn Thai Restaurant,(408) 732-3319,CA,94085.0
2104,125,64,415 N Mary Ave,Sunnyvale ,Bibimbowl,(408) 481-9383,CA,94085.0,415 N Mary Ave,Sunnyvale,Bibimbowl,(408) 481-9383,CA,94085.0
2105,126,55,500 Lawrence Expy,Sunnyvale ,Falafel Bite,(408) 736-2411,CA,94085.0,500 Lawrence Expy,Sunnyvale,Falafel Bite,(408) 736-2411,CA,94085.0
2109,128,29,415 N Mary Ave,Sunnyvale ,Little India Cafe,(408) 245-6200,CA,94085.0,415 N Mary Ave,Sunnyvale,Little India Cafe,(408) 823-5502,CA,94085.0
2111,129,2,223 E Maude Ave,Sunnyvale ,Sunnyvale Cafe,(408) 530-8191,CA,94085.0,223 E Maude Ave,Sunnyvale,Sunnyvale Cafe,(408) 530-8191,CA,94085.0
2116,130,26,346 W Maude Ave,Sunnyvale ,Bagel Street Cafe,(408) 738-1856,CA,94085.0,348 W Maude Ave,Sunnyvale,Bagel Street Cafe,(408) 738-1856,CA,94087.0
2118,131,121,"520 Lawrence Expressway, Suite 304",Sunnyvale ,Myzen Ramen,(408) 245-7779,CA,94085.0,520 Lawrence Expwy,Sunnyvale,Myzen Ramen,(408) 245-7779,CA,94085.0
2131,136,8,155 E Maude Ave,Sunnyvale ,Gombei Bento,(408) 735-7777,CA,94085.0,155 E Maude Ave,Sunnyvale,Gombei Bento,(408) 735-7777,CA,94085.0
2138,138,47,927 E Arques Ave,Sunnyvale ,Off The Stick,(408) 746-9746,CA,94085.0,927 E Arques Ave,Sunnyvale,Off The Stick Kabob Grill,(669) 241-0006,CA,94085.0
